Feature_1,Feature_2,Close
-3749.377532434957,-6.1260471715763245,897.4691176470589
-3792.2418443552,-6.060298546554613,907.4220588235294
-3834.5884070886946,-5.950000672122966,923.404411764706
-3879.974751015857,-5.7613917003450315,939.5720588235296
-3929.692588732245,-5.741750748013935,940.9073529411766
-4018.254712667489,-5.693795414161493,951.2279411764706
-4001.614294734144,-5.640962925684119,976.9205882352942
-4165.909822834292,-5.70788751876619,1017.0220588235294
-4339.318145909128,-5.835178991330816,1054.6279411764706
-4395.662354640123,-5.85389963694452,1043.110294117647
-4412.310139755573,-5.867130012524531,1062.9426470588237
-4527.391254249768,-5.892403907792382,1106.3764705882354
-4703.994887918245,-5.973861739719277,1120.9382352941177
-4793.514336239108,-6.066344173817472,1165.739705882353
-4871.926529674585,-6.150860709031471,1128.2044117647058
-4739.4572282634945,-6.161718692853575,1081.4485294117646
-4496.797802699439,-5.850879131730419,1074.4147058823528
-4451.842848213253,-5.904647792721254,1036.125
-4296.610591252541,-5.887363881667512,1036.654411764706
-4361.831435843004,-6.05584834851974,999.6691176470588
-4245.274838488546,-6.098615652223901,1038.7911764705882
-4434.141965344834,-6.267822767869642,1064.8617647058825
-4441.658946818229,-6.420425655848447,1048.0
-4447.7954002229235,-6.493569623077815,1063.6808823529411
-4467.943415413538,-6.573032658683276,1064.8808823529412
-4421.983249858056,-7.016342281221913,1009.895588235294
-4207.010103928535,-7.129211195472002,979.154411764706
-4121.558158704839,-7.126180584855095,967.129411764706
-4037.150306900433,-7.124042956976553,927.6691176470588
-3816.8269496118646,-7.2710159423408465,904.7220588235294
-3730.2441419352144,-7.451566593014296,910.6985294117648
-3741.806934247361,-7.530665374546755,871.8838235294118
-3676.447341060607,-7.59021759826891,886.4823529411765
-4229.508604926484,-7.690005778657917,1042.785
-4406.753074294565,-7.694074778244612,1035.4083333333333
-4361.066613197176,-7.712333584351206,1071.3
-4468.2622506834805,-7.735777602529914,1062.71
-4381.323826398087,-7.7292794582103435,1047.26
-4591.486077275133,-7.697245750073424,1101.5879310344828
-4368.960112247802,-7.6364947379830035,1031.045
-4215.481026340953,-7.617301912556322,993.19
-4099.919216857404,-7.509285586315638,953.7666666666668
-3825.6251113389962,-7.531404053323276,887.1816666666667
-3658.095253865917,-7.473683637028083,900.9383333333334
-3769.930415210973,-7.368367925933509,926.3216666666668
-4006.835116546755,-7.035235750074949,996.205
-4311.297259777779,-7.000276094821568,1051.8266666666666
-4375.122951078772,-6.932823551508942,1073.8316666666667
-4435.959067167843,-6.848007128178699,1036.246666666667
-4210.468559352584,-6.778088986679193,977.3433333333334
-3903.6518647211387,-6.78667205654317,910.6983333333334
-3765.8062393833234,-6.690334893986321,865.9449999999999
-3658.6342587373297,-6.552095295012224,829.9133333333334
-3391.4246811028156,-6.392932193463873,844.3366666666667
-3539.775335117809,-6.336757559802028,831.6333333333333
-3376.8771158900436,-6.313767617494953,808.4783333333332
-3503.0056473794248,-6.4989315202692906,856.995
-3581.419259679604,-6.514995761470396,840.6766666666666
-3493.107810936911,-6.453292806570338,829.555
-3407.014538868138,-6.58631870628251,777.7616666666667
-3147.82880483577,-6.523476604134006,758.4449999999999
-3239.8135578613515,-6.562254400956038,809.33
-3443.218781737114,-6.504953658214276,850.6383333333332
-3527.554489728622,-6.536947328338761,790.9683333333334
-3274.6753910075495,-6.470341640328888,805.4283333333333
-3364.0931449295185,-6.067919560454717,787.2583333333333
-3204.0425598718066,-5.949349441153213,735.4133333333333
-3066.444635567841,-5.952836453619221,711.9116666666666
-2940.3508935495065,-5.9818323221635765,722.88
-3029.141509273412,-6.000979353865046,729.5883333333334
-3098.9129531060453,-5.9137542802353,726.1183333333333
-3012.5984200014177,-5.880241334560002,714.8433333333334
-2945.6184833255484,-5.8466104446617475,693.8349999999999
-2837.493735032497,-5.821378496795073,660.4783333333332
-2727.702339146516,-5.844103468656673,655.3783333333334
-2720.5157621475537,-5.875266902211762,658.8783333333333
-2774.652353832311,-5.645792637707105,662.4599999999999
-2763.6175974760004,-5.68828498993418,665.6566666666666
-2783.579795962437,-5.779836435729267,676.4566666666667
-2848.2390429897027,-5.55311139039537,701.075
-3023.142412886167,-5.654672013180049,739.2549999999999
-3058.263543556565,-5.591264375412515,722.3566666666667
-3061.415005773756,-5.471672712867454,756.4316666666667
-3234.1131870654917,-5.45117448854047,781.765
-3283.7378162853356,-5.437529556312006,794.3016666666666
-3316.2506643464794,-5.408721556884875,796.0483333333334
-3340.645505303845,-5.26272391343358,802.5533333333333
-3364.489281039834,-5.1159636728012154,800.4816666666667
-3332.056680691904,-5.177314182584362,788.68
-3260.837067144511,-5.101098564731829,783.2466666666667
-3284.1984288819904,-5.029980396468491,788.4666666666667
-3305.937209689864,-4.953519465991252,808.6783333333333
-3397.602827301046,-4.871199665547924,827.2816666666665
-3482.2233450955205,-4.776466017490714,845.0100000000001
-3550.90518269498,-4.69959987459182,859.6850000000001
-3610.2472069675105,-4.7565991293476335,833.3616666666668
-3489.3677108696133,-4.645515183825301,838.9233333333334
