Feature_1,Feature_2,Close
24255692139179.65,2134309335427.3596,897.4691176470589
26278943161372.51,2312339411695.8584,907.4220588235294
22273886347512.66,1959926078177.738,923.404411764706
19577285354985.207,1722646474476.5723,939.5720588235296
26125810320991.543,2298865006040.7754,940.9073529411766
21996781773993.816,1935543028006.934,951.2279411764706
20584968617211.562,1811314643453.0842,976.9205882352942
18890199568290.5,1662188334713.4504,1017.0220588235294
23915802546600.617,2104401729138.186,1054.6279411764706
27101494887800.61,2384717527120.0415,1043.110294117647
22509849206907.8,1980688977948.5598,1062.9426470588237
21705569799050.3,1909918736416.5537,1106.3764705882354
18515405007020.51,1629209431975.7761,1120.9382352941177
25103514653776.938,2208911130609.3613,1165.739705882353
21886686498029.574,1925855582001.6377,1128.2044117647058
23520262675828.64,2069597421742.1392,1081.4485294117646
20251378045934.355,1781961355600.0464,1074.4147058823528
13810638409382.215,1215227114873.982,1036.125
15672815957838.97,1379084012878.397,1036.654411764706
28708146234486.07,2526090156575.5503,999.6691176470588
24124738073935.53,2122786399295.8054,1038.7911764705882
20025530971287.7,1762088496935.9663,1064.8617647058825
21707486691185.812,1910087396586.2778,1048.0
21010418935252.438,1848750889641.197,1063.6808823529411
18187692680139.586,1600373257411.3958,1064.8808823529412
23279807676444.117,2048439260934.0776,1009.895588235294
15451790434514.045,1359635497651.9346,979.154411764706
14402541231090.236,1267309850175.2615,967.129411764706
19515337024057.82,1717195481024.0435,927.6691176470588
21013096534939.164,1848986498754.2812,904.7220588235294
17624987258970.496,1550859673147.0354,910.6985294117648
16489339008780.834,1450931504025.2788,871.8838235294118
14221888825332.484,1251413830923.136,886.4823529411765
22586152356456.0,1987403023793.1885,1042.785
16263563484509.803,1431065134229.9202,1035.4083333333333
17569648842394.438,1545990364261.222,1071.3
15773532868194.537,1387946309476.6973,1062.71
15895102265464.062,1398643417345.9905,1047.26
18480084113840.438,1626101363672.2542,1101.5879310344828
23052566898101.047,2028443701476.959,1031.045
31011991138518.75,2728810162881.5415,993.19
27485385335888.055,2418496671239.523,953.7666666666668
14202695545339.488,1249724867649.4275,887.1816666666667
26999010431861.074,2375699540128.1655,900.9383333333334
26596025049861.047,2340240088444.3413,926.3216666666668
16370420392866.018,1440467519464.402,996.205
26811629191705.914,2359211369536.166,1051.8266666666666
30449235711833.22,2679292315209.3535,1073.8316666666667
30142566879694.027,2652307755302.9155,1036.246666666667
11493993528266.004,1011380592837.2756,977.3433333333334
13891987690863.484,1222384964967.9846,910.6983333333334
15875535849301.854,1396921691865.145,865.9449999999999
22508252339777.37,1980548337044.7273,829.9133333333334
24408741428927.816,2147776384382.4622,844.3366666666667
22800288592935.562,2006245227954.151,831.6333333333333
22612317260781.754,1989705207356.9346,808.4783333333332
23335466168992.867,2053336564592.2537,856.995
35215009772560.64,3098642602155.532,840.6766666666666
24964913649234.27,2196715174030.9949,829.555
25410032447327.605,2235882087676.878,777.7616666666667
24117313795436.613,2122133102380.4338,758.4449999999999
21567233070816.08,1897746117909.252,809.33
27417409843609.44,2412515506774.1973,850.6383333333332
28157294169666.777,2477619562183.7554,790.9683333333334
21713862593643.574,1910648415273.3582,805.4283333333333
24786743982621.492,2181037700432.264,787.2583333333333
18550180407080.055,1632269346149.3103,735.4133333333333
18938696806520.652,1666455724248.7402,711.9116666666666
26433924068129.24,2325976542277.394,722.88
19801372804538.242,1742364401118.8635,729.5883333333334
20249633075277.434,1781807738935.483,726.1183333333333
15769748289670.254,1387613219348.8816,714.8433333333334
25066354068593.785,2205641170181.2856,693.8349999999999
13582628366314.72,1195163974838.667,660.4783333333332
17823690256084.008,1568343930669.734,655.3783333333334
17723676452178.8,1559543500180.8538,658.8783333333333
19665097612025.875,1730373223007.0496,662.4599999999999
19050922144168.66,1676330647035.0217,665.6566666666666
23326650542121.492,2052560911433.1843,676.4566666666667
21215323807001.883,1866780875608.1943,701.075
25407051103806.504,2235619753005.47,739.2549999999999
18503672387433.527,1628176994162.3235,722.3566666666667
27270374297446.805,2399577503492.6924,756.4316666666667
29901026361823.195,2631054104656.5034,781.765
21904972931791.79,1927464619581.4978,794.3016666666666
26467765317368.785,2328954330715.3164,796.0483333333334
19564894823926.09,1721556169579.717,802.5533333333333
27902296736298.066,2455181665682.7456,800.4816666666667
14997059056579.076,1319622699414.1538,788.68
21414977965220.453,1884348851286.9028,783.2466666666667
22868224376067.22,2012223058788.704,788.4666666666667
26652532868231.777,2345212434223.2695,808.6783333333333
24425551454825.61,2149255609817.179,827.2816666666665
27967397795263.48,2460910168999.7417,845.0100000000001
22217288533665.562,1954945925427.0771,859.6850000000001
23324318068620.227,2052355804286.0288,833.3616666666668
28611524357341.145,2517588113271.5283,838.9233333333334
35359555762941.875,3111361542566.0957,824.5133333333334
19940785165303.23,1754631606738.6184,823.2883333333333
25978441980332.223,2285897642970.7817,823.2099999999999
18474934063766.336,1625648266107.833,832.9566666666666
23004873461356.168,2024247145488.026,845.3383333333334
24079431674963.246,2118799773339.7021,837.3966666666668
27525421001651.184,2422019618975.987,855.9266666666666
22919149442262.48,2016704116022.5923,875.4916666666667
28419176998744.438,2500663034139.7397,781.3866666666668
25873657555501.543,2276677477934.202,773.7366666666668
23253046732540.02,2046084331725.3303,770.495
22481000582291.19,1978150440922.529,765.2683333333333
31513544351491.543,2772942928300.464,759.3116666666666
27009470784071.57,2376620065622.2593,765.705
33918039800503.535,2984519588317.798,750.1066666666667
43260657491640.96,3806596224262.5454,739.5033333333333
26322931863961.13,2316210060906.306,735.58
29374258134412.54,2584702702990.8677,722.635
